Buyer_ID,Unique_Buys
A ,"['methamphetamine', 'ecstasy']"
A ,['marijuana']
A ,['ecstasy']
A ,"['ecstasy', 'ketamine', 'cocaine', 'methamphetamine', 'erectile_dysfunction']"
A ,"['', 'ketamine', 'cocaine', 'methamphetamine', 'erectile_dysfunction']"
A0,['ecstasy']
A0,"['cocaine', 'not_drugs']"
A1,['cocaine']
A1,"['cocaine', 'hashish', 'not_drugs']"
A1,['methamphetamine']
A1,"['cocaine', 'marijuana', 'hashish']"
A2,"['', 'not_drugs']"
A2,"['methamphetamine', 'cocaine']"
A3,"['methamphetamine', 'stimulant']"
A3,"['', 'marijuana', 'oxycodone', 'lsd', 'stimulant']"
A4,['marijuana']
A4,['not_drugs']
A5,"['psilocybin', 'cocaine']"
A6,['not_drugs']
A7,"['', 'not_drugs']"
A7,"['marijuana', 'hashish', 'psilocybin', 'not_drugs', 'stimulant']"
A7,['cocaine']
A8,['not_drugs']
A8,['ecstasy']
A8,['']
A9,['not_drugs']
A9,"['marijuana', 'not_drugs']"
AD,['not_drugs']
AE,['marijuana']
AF,['marijuana']
AI,['not_drugs']
AK,['marijuana']
AL,['ecstasy']
AN,['marijuana']
AO,['psilocybin']
AX,['not_drugs']
Aa,"['hashish', 'psychedelic']"
Aa,['not_drugs']
Ad,['marijuana']
Ae,"['dmt', 'not_drugs']"
Ae,"['', 'cocaine', 'oxycodone', 'heroin']"
Ae,['ecstasy']
Ae,['not_drugs']
Ae,['hashish']
Af,['not_drugs']
Ah,['cocaine']
Ak,['not_drugs']
Ak,['ecstasy']
Al,['marijuana']
Am,['marijuana']
An,"['methamphetamine', 'cocaine']"
An,"['lsd', 'psilocybin', 'ecstasy']"
Ao,['ecstasy']
Ao,['not_drugs']
Ap,['not_drugs']
Ap,['not_drugs']
Ar,"['benzodiazepines', 'not_drugs']"
Ar,"['', 'methamphetamine', 'cocaine', 'marijuana']"
As,['hashish']
As,"['', 'marijuana', 'not_drugs']"
As,"['', 'cocaine', 'methamphetamine', 'benzodiazepines', 'not_drugs']"
At,"['marijuana', 'not_drugs', 'heroin']"
At,"['opioid', 'oxycodone']"
Au,['marijuana']
Av,['methamphetamine']
Ax,"['psilocybin', 'cocaine']"
Ax,['lsd']
Ay,['not_drugs']
Ay,"['methamphetamine', 'ketamine']"
B ,['ecstasy']
B ,['benzodiazepines']
B ,"['benzodiazepines', 'ecstasy']"
B ,"['cocaine', 'ecstasy']"
B ,"['marijuana', 'hashish']"
B0,"['', 'marijuana', 'methamphetamine', 'benzodiazepines', 'not_drugs']"
B0,"['', 'not_drugs']"
B0,['hashish']
B0,['hashish']
B1,['stimulant']
B1,"['marijuana', 'ecstasy', 'psilocybin', 'oxycodone', 'lsd', 'methamphetamine', 'not_drugs', 'stimulant', 'heroin']"
B1,"['psilocybin', 'dmt', 'not_drugs']"
B2,['cocaine']
B2,"['lsd', 'marijuana', 'not_drugs']"
B2,['ketamine']
B3,"['', 'methamphetamine', 'cocaine', 'not_drugs']"
B3,['marijuana']
B4,['not_drugs']
B4,"['methamphetamine', 'cocaine', 'marijuana', 'not_drugs']"
B5,"['fentanyl', 'marijuana']"
B5,"['benzodiazepines', 'heroin']"
B6,['not_drugs']
B6,"['lsd', 'not_drugs']"
B6,['']
B7,"['marijuana', 'hashish', 'heroin']"
B7,"['', 'benzodiazepines', 'not_drugs', 'ecstasy']"
B7,['cocaine']
B8,['benzodiazepines']
B8,['marijuana']
B8,"['', 'methamphetamine', 'cocaine', 'not_drugs']"
B9,"['lsd', 'methamphetamine', 'cocaine']"
B9,['stimulant']
B9,"['', 'marijuana', 'not_drugs']"
BC,"['', 'not_drugs']"
BK,['marijuana']
BK,['not_drugs']
BN,['not_drugs']
BT,['ecstasy']
BV,"['marijuana', 'benzodiazepines']"
BV,['marijuana']
Ba,"['marijuana', 'erectile_dysfunction', 'not_drugs']"
Ba,['heroin']
Bb,"['marijuana', 'cocaine', 'ecstasy']"
Bd,"['lsd', 'methamphetamine', 'marijuana']"
Bd,"['psilocybin', '', 'cocaine', 'not_drugs']"
Be,"['lsd', 'marijuana', 'not_drugs']"
Be,"['', 'marijuana', 'ecstasy', 'hashish', 'psilocybin', 'cocaine', 'methamphetamine']"
Bg,['marijuana']
Bh,['cocaine']
Bi,['not_drugs']
Bi,"['marijuana', 'hashish']"
Bk,"['', 'ecstasy']"
Bk,"['marijuana', 'not_drugs']"
Bm,"['methamphetamine', 'cocaine', 'marijuana']"
Bn,['cocaine']
Bn,"['cocaine', 'benzodiazepines']"
Bo,['ecstasy']
Bo,"['lsd', 'benzodiazepines', 'not_drugs']"
Bo,"['marijuana', 'stimulant']"
Bp,['not_drugs']
Br,['hashish']
Br,['marijuana']
Br,['heroin']
Br,"['', 'methamphetamine', 'cocaine', 'marijuana']"
Br,['not_drugs']
Bs,['psilocybin']
Bs,"['psilocybin', 'marijuana', 'ecstasy']"
Bs,"['methamphetamine', 'marijuana', 'not_drugs', 'benzodiazepines']"
Bt,"['methamphetamine', 'marijuana']"
Bt,['marijuana']
Bt,['not_drugs']
Bt,['not_drugs']
Bt,['cocaine']
Bu,"['ecstasy', 'marijuana', 'psychedelic', 'lsd', 'methamphetamine']"
Bv,['not_drugs']
Bw,"['cocaine', 'marijuana']"
By,"['psilocybin', 'cocaine', 'marijuana', 'psychedelic']"
By,"['psilocybin', 'benzodiazepines']"
Bz,"['methamphetamine', 'cocaine', 'marijuana', 'heroin']"
C ,['cocaine']
C ,['methamphetamine']
C ,['']
C ,['cocaine']
C ,"['', 'cocaine', 'benzodiazepines', 'psychedelic']"
C ,['marijuana']
C ,['ecstasy']
C ,"['ketamine', 'cocaine', 'methamphetamine', 'benzodiazepines', 'heroin']"
C ,['cocaine']
C ,['cocaine']
C ,['cocaine']
C ,['methamphetamine']
C0,"['lsd', 'ecstasy', 'erectile_dysfunction', 'not_drugs']"
C0,['not_drugs']
C1,"['lsd', 'marijuana']"
C1,['not_drugs']
C2,['not_drugs']
C2,['marijuana']
C3,['not_drugs']
C4,['ketamine']
C5,"['lsd', 'marijuana']"
C5,['not_drugs']
C6,['not_drugs']
C6,['ecstasy']
C7,['not_drugs']
C8,['cocaine']
C8,"['', 'marijuana', 'heroin']"
C8,"['ecstasy', 'not_drugs']"
C9,"['lsd', 'not_drugs']"
C9,"['', 'marijuana', 'stimulant']"
CA,['not_drugs']
CC,['']
CC,['not_drugs']
CD,['psychedelic']
CE,"['', 'not_drugs']"
CE,['marijuana']
CG,['not_drugs']
CI,['marijuana']
CN,['not_drugs']
CR,['not_drugs']
CW,['not_drugs']
CZ,"['cocaine', 'not_drugs', 'heroin']"
Ca,"['', 'ecstasy', 'cocaine', 'lsd', 'methamphetamine', 'not_drugs']"
Ca,"['marijuana', 'not_drugs']"
Cb,['not_drugs']
Cd,['benzodiazepines']
Cd,['ecstasy']
Ce,"['opioid_treatment', 'cocaine', 'not_drugs']"
Ce,['benzodiazepines']
Ce,['not_drugs']
Cg,"['benzodiazepines', 'not_drugs']"
Cg,"['methamphetamine', 'marijuana']"
Cg,"['cocaine', 'benzodiazepines']"
Ci,"['cocaine', 'not_drugs']"
Ci,"['cocaine', 'marijuana', 'hashish', 'stimulant']"
Cl,"['lsd', 'not_drugs']"
Cm,"['cocaine', 'opioid']"
Cn,"['marijuana', 'cocaine', 'oxycodone', 'lsd', 'stimulant']"
Co,"['cocaine', 'ecstasy']"
Co,['marijuana']
Co,['stimulant']
Cr,['marijuana']
Cr,"['cocaine', 'marijuana']"
Cs,"['marijuana', 'not_drugs']"
Cs,"['methamphetamine', 'not_drugs', 'heroin']"
Ct,"['lsd', 'not_drugs']"
Ct,['marijuana']
Cw,['methamphetamine']
Cx,"['marijuana', 'dmt', 'ecstasy', 'ketamine']"
Cy,['heroin']
Cy,"['', 'not_drugs']"
D ,['heroin']
D ,['marijuana']
D ,"['cocaine', 'ecstasy', 'ketamine']"
D ,['lsd']
D ,"['methamphetamine', 'marijuana', 'hashish']"
D ,"['ecstasy', 'stimulant']"
D ,"['ecstasy', 'psychedelic', 'ketamine', 'cocaine', 'lsd', 'methamphetamine', 'erectile_dysfunction', 'stimulant']"
D ,['cocaine']
D ,['marijuana']
D0,"['cocaine', 'marijuana']"
D0,['not_drugs']
D0,"['psilocybin', 'benzodiazepines', 'lsd']"
D1,['not_drugs']
D1,"['marijuana', 'not_drugs']"
D2,['cocaine']
D2,"['', 'marijuana', 'ketamine', 'cocaine', 'heroin']"
D2,"['marijuana', 'opioid_treatment', 'not_drugs']"
D3,"['lsd', '', 'not_drugs']"
D5,"['', 'marijuana', 'ecstasy', 'benzodiazepines', 'not_drugs', 'stimulant', 'heroin']"
D6,"['lsd', 'marijuana']"
D6,"['', 'ecstasy', 'not_drugs']"
D6,"['', 'ecstasy', 'ketamine']"
D7,"['methamphetamine', 'cocaine', 'marijuana', 'heroin']"
D7,"['lsd', 'not_drugs']"
D8,['psilocybin']
D8,"['psilocybin', 'not_drugs']"
D8,['benzodiazepines']
D9,"['cocaine', 'marijuana']"
D9,"['lsd', '', 'ecstasy', 'not_drugs']"
DE,['not_drugs']
DE,['stimulant']
DE,['methamphetamine']
DH,"['cocaine', 'not_drugs']"
DL,['not_drugs']
DN,['ecstasy']
DO,"['cocaine', 'not_drugs']"
DS,['not_drugs']
DT,"['marijuana', 'not_drugs']"
DT,"['cocaine', 'marijuana']"
Da,['not_drugs']
Da,"['marijuana', 'hashish', 'ecstasy']"
Dc,['not_drugs']
Dd,['marijuana']
Dd,"['marijuana', 'not_drugs']"
De,['cocaine']
De,"['methamphetamine', 'cocaine', 'marijuana', 'stimulant']"
De,"['', 'methamphetamine', 'cocaine', 'not_drugs']"
Dg,['not_drugs']
Dg,['fentanyl']
Dh,"['psilocybin', 'methamphetamine', 'benzodiazepines', 'oxycodone']"
Dj,"['marijuana', 'not_drugs']"
Dk,"['marijuana', 'hashish']"
Dl,"['marijuana', 'ecstasy']"
Dl,"['ecstasy', 'not_drugs']"
Dn,"['', 'marijuana', 'ketamine', 'cocaine', 'not_drugs']"
Dn,['psilocybin']
Dn,['cocaine']
Dn,['not_drugs']
Dn,"['lsd', '', 'cocaine', 'marijuana']"
Do,['not_drugs']
Dp,"['psilocybin', 'cocaine', 'lsd']"
Dr,"['methamphetamine', 'marijuana']"
Dr,['not_drugs']
Ds,"['marijuana', 'ecstasy', 'cocaine', 'benzodiazepines', 'heroin']"
Ds,['cocaine']
Ds,"['not_drugs', 'heroin']"
Ds,['cocaine']
Dt,"['methamphetamine', 'cocaine', 'ecstasy', 'marijuana']"
Dt,['not_drugs']
Du,['not_drugs']
Dw,['marijuana']
Dx,"['marijuana', 'ecstasy']"
Dy,"['cocaine', 'ecstasy', 'not_drugs']"
Dy,"['fentanyl', 'marijuana']"
Dz,"['', 'marijuana', 'hashish', 'ketamine']"
E ,"['', 'ecstasy']"
E ,['lsd']
E ,"['cocaine', 'ecstasy', 'hashish']"
E ,"['benzodiazepines', 'erectile_dysfunction', 'stimulant']"
E ,"['cocaine', 'marijuana', 'hashish', 'ecstasy']"
E0,"['', 'marijuana']"
E1,"['marijuana', 'stimulant']"
E1,"['marijuana', 'not_drugs']"
E2,"['ecstasy', 'not_drugs']"
E2,['not_drugs']
E3,['benzodiazepines']
E3,"['marijuana', 'ecstasy']"
E4,['benzodiazepines']
E4,"['hashish', 'ketamine']"
E5,"['marijuana', 'not_drugs']"
E6,['not_drugs']
E7,"['methamphetamine', 'opioid_treatment']"
E8,"['cocaine', 'ecstasy', 'not_drugs']"
E8,['not_drugs']
E9,"['', 'marijuana', 'not_drugs']"
EK,"['methamphetamine', 'not_drugs']"
EK,"['', 'steroids_and_hormones', 'cocaine', 'not_drugs']"
EN,['marijuana']
EO,['not_drugs']
Ea,['opioid_treatment']
Ea,['marijuana']
Ee,"['cocaine', 'marijuana']"
Ee,['not_drugs']
Eg,"['marijuana', 'hashish']"
Eh,['cocaine']
Eh,['not_drugs']
Ei,['cocaine']
Ej,['marijuana']
Ek,['cocaine']
Ek,['not_drugs']
Em,['dmt']
En,['methamphetamine']
Eo,"['lsd', 'cocaine', 'not_drugs']"
Ep,['not_drugs']
Ep,['marijuana']
Er,['marijuana']
Et,['methamphetamine']
Ex,['lsd']
Ey,['marijuana']
Ey,['not_drugs']
Ez,"['cocaine', 'ecstasy']"
F ,['ecstasy']
F ,['methamphetamine']
F ,['ecstasy']
F ,"['', 'ecstasy']"
F ,['benzodiazepines']
F ,"['cocaine', 'ecstasy']"
F ,['']
F ,['marijuana']
F0,['not_drugs']
F0,['psilocybin']
F1,['cocaine']
F1,"['cocaine', 'oxycodone', 'methamphetamine', 'not_drugs', 'heroin']"
F2,['ecstasy']
F2,['not_drugs']
F3,"['methamphetamine', 'hashish']"
F4,['not_drugs']
F4,"['', 'not_drugs']"
F6,['marijuana']
F6,['cocaine']
F7,['not_drugs']
F7,['cocaine']
F8,"['cocaine', 'benzodiazepines', 'ketamine']"
F8,['marijuana']
F8,['ecstasy']
F9,"['lsd', 'methamphetamine', 'ecstasy', 'not_drugs']"
F9,"['cocaine', 'hashish']"
FJ,"['methamphetamine', 'benzodiazepines']"
FL,['marijuana']
FP,['marijuana']
FR,"['', 'marijuana']"
FU,['marijuana']
FX,['ecstasy']
Fa,['not_drugs']
Fa,['opioid_treatment']
Fb,['not_drugs']
Fd,['not_drugs']
Fe,['not_drugs']
Fe,"['lsd', '', 'marijuana']"
Fe,['prescription']
Fh,['psilocybin']
Fi,['marijuana']
Fi,['ecstasy']
Fk,['marijuana']
Fl,['marijuana']
Fm,['oxycodone']
Fn,"['', 'opioid', 'marijuana', 'ketamine', 'oxycodone', 'methamphetamine', 'benzodiazepines', 'stimulant']"
Fo,"['', 'cocaine', 'not_drugs']"
Fr,"['marijuana', 'stimulant']"
Fs,"['cocaine', 'marijuana']"
Fs,['not_drugs']
Ft,"['marijuana', 'ecstasy', 'psychedelic', 'ketamine', 'lsd', 'not_drugs']"
Ft,['marijuana']
Fx,['cocaine']
Fy,"['', 'not_drugs']"
Fy,"['ecstasy', 'hashish']"
Fz,['stimulant']
G ,['cocaine']
G ,['stimulant']
G ,['ecstasy']
G ,"['cocaine', 'hashish']"
G0,['marijuana']
G0,['not_drugs']
G1,"['cocaine', 'ecstasy']"
G1,"['', 'not_drugs']"
G2,['not_drugs']
G2,"['marijuana', 'stimulant']"
G3,['psilocybin']
G3,['cocaine']
G3,['not_drugs']
G4,['ecstasy']
G6,"['benzodiazepines', 'cocaine', 'marijuana', 'ketamine']"
G7,"['', 'marijuana', 'cocaine', 'methamphetamine', 'benzodiazepines']"
G7,"['lsd', 'ecstasy', 'hashish']"
G7,"['lsd', 'not_drugs', 'ketamine']"
G8,"['ecstasy', 'not_drugs']"
G8,"['', 'marijuana', 'ecstasy']"
G9,"['', 'marijuana', 'stimulant', 'lsd']"
G9,"['marijuana', 'ecstasy', 'psychedelic', 'cocaine', 'not_drugs']"
GH,['not_drugs']
GN,['not_drugs']
GX,['fentanyl']
GX,['not_drugs']
Gd,"['', 'marijuana', 'cocaine', 'methamphetamine', 'benzodiazepines']"
Gd,"['', 'not_drugs']"
Ge,['not_drugs']
Ge,['']
Gf,['cocaine']
Gg,"['', 'marijuana', 'ecstasy']"
Gh,['marijuana']
Gh,['methamphetamine']
Gh,['ecstasy']
Gi,['not_drugs']
Gi,['ecstasy']
Gj,['opioid']
Gk,"['', 'ecstasy', 'not_drugs']"
Gl,['not_drugs']
Gl,['cocaine']
Gm,['marijuana']
Gn,"['cocaine', 'marijuana']"
Gn,"['not_drugs', 'inhalants']"
Go,"['methamphetamine', 'hashish']"
Go,['hashish']
Gr,['not_drugs']
Gr,"['lsd', 'not_drugs']"
Gs,['marijuana']
Gt,['marijuana']
Gu,"['methamphetamine', 'marijuana', 'not_drugs']"
Gu,['methamphetamine']
Gy,['hashish']
Gy,"['', 'not_drugs']"
H ,['benzodiazepines']
H ,['hashish']
H ,"['benzodiazepines', 'cocaine', 'ecstasy']"
H0,"['', 'psilocybin', 'lsd']"
H0,['']
H0,['marijuana']
H1,['not_drugs']
H1,['benzodiazepines']
H2,"['marijuana', 'hashish']"
H2,['not_drugs']
H3,['ecstasy']
H5,"['fentanyl', 'cocaine', 'hashish', 'heroin']"
H6,"['', 'benzodiazepines', 'marijuana', 'ecstasy']"
H7,['marijuana']
H7,"['fentanyl', 'marijuana', 'ecstasy']"
H8,['not_drugs']
H8,['cocaine']
H8,['heroin']
H9,['stimulant']
H9,"['methamphetamine', 'cocaine']"
H9,"['lsd', 'ecstasy', 'dmt']"
HC,['fentanyl']
HK,['cocaine']
HR,['not_drugs']
HY,['cocaine']
Ha,['cocaine']
Hb,"['benzodiazepines', 'hashish']"
Hc,['psilocybin']
Hd,['marijuana']
He,"['marijuana', 'hashish', 'ketamine']"
He,['not_drugs']
Hf,"['methamphetamine', 'cocaine', 'prescription']"
Hg,['lsd']
Hh,['not_drugs']
Hh,['stimulant']
Hk,['not_drugs']
Hl,"['ecstasy', 'not_drugs']"
Hm,['marijuana']
Hn,"['', 'benzodiazepines', 'not_drugs']"
Hn,['not_drugs']
Ho,['ecstasy']
Ho,['not_drugs']
Hp,"['', 'methamphetamine']"
Hr,['marijuana']
Hs,"['lsd', 'marijuana', 'dmt', 'not_drugs']"
Hs,['not_drugs']
Hs,['']
Ht,"['lsd', 'cocaine', 'oxycodone']"
Hy,['psilocybin']
Hy,"['', 'not_drugs']"
Hz,['not_drugs']
I ,"['cocaine', 'ecstasy']"
I ,"['benzodiazepines', 'ecstasy', 'oxycodone']"
I ,['stimulant']
I0,['marijuana']
I2,['marijuana']
I2,['not_drugs']
I3,['marijuana']
I6,['ecstasy']
I7,['not_drugs']
I7,['not_drugs']
I9,"['cocaine', 'marijuana']"
II,['marijuana']
IL,"['cocaine', 'marijuana']"
IO,['marijuana']
IT,"['lsd', 'marijuana', 'not_drugs']"
Ia,['lsd']
Id,"['dmt', 'not_drugs']"
Id,['marijuana']
Ie,['not_drugs']
Ie,"['lsd', 'benzodiazepines']"
Ig,"['not_drugs', 'ketamine']"
Ig,['not_drugs']
Ih,['marijuana']
Ii,['not_drugs']
Ik,['not_drugs']
In,['ecstasy']
In,['ketamine']
Ir,['dmt']
Ir,['cocaine']
Is,['lsd']
It,['marijuana']
It,"['cocaine', 'ecstasy', 'not_drugs']"
Iw,['psilocybin']
J ,['marijuana']
J ,['ketamine']
J ,"['cocaine', 'benzodiazepines', 'heroin']"
J ,['cocaine']
J ,['cocaine']
J0,['psychedelic']
J0,"['', 'marijuana', 'cocaine', 'methamphetamine', 'erectile_dysfunction', 'stimulant']"
J0,"['lsd', 'not_drugs', 'heroin']"
J1,['not_drugs']
J1,"['cocaine', 'ecstasy']"
J2,['not_drugs']
J2,['ecstasy']
J3,['not_drugs']
J3,"['marijuana', 'oxycodone']"
J4,['cocaine']
J4,['marijuana']
J5,['marijuana']
J6,['psilocybin']
J7,"['', 'marijuana', 'not_drugs', 'lsd']"
J7,['ecstasy']
J8,['not_drugs']
J9,"['cocaine', 'not_drugs']"
J9,"['methamphetamine', 'not_drugs']"
JB,['not_drugs']
JG,['not_drugs']
JJ,['psilocybin']
JP,"['', 'marijuana']"
JT,['not_drugs']
JT,['methamphetamine']
JZ,['marijuana']
Ja,['marijuana']
Jc,"['ecstasy', 'not_drugs']"
Jd,['not_drugs']
Jd,['ecstasy']
Je,"['fentanyl', 'cocaine', 'marijuana', 'dmt']"
Je,"['cocaine', 'not_drugs']"
Jh,['not_drugs']
Ji,"['oxycodone', 'not_drugs']"
Jk,['not_drugs']
Jl,['lsd']
Jm,['marijuana']
Jn,['marijuana']
Jn,['not_drugs']
Jn,['hashish']
Jo,"['benzodiazepines', 'not_drugs']"
Jo,['methamphetamine']
Jo,['opioid_treatment']
Jp,['not_drugs']
Jr,['cocaine']
Js,['not_drugs']
Js,['marijuana']
Jt,['methamphetamine']
Jw,['not_drugs']
Jx,"['', 'not_drugs']"
Jx,"['marijuana', 'ketamine']"
Jy,['']
Jy,['marijuana']
Jy,['ecstasy']
Jy,['cocaine']
K ,['ecstasy']
K0,['not_drugs']
K0,['stimulant']
K1,"['', 'ecstasy', 'not_drugs']"
K1,"['methamphetamine', 'marijuana']"
K2,['heroin']
K3,"['hashish', 'heroin']"
K4,"['cocaine', 'marijuana']"
K5,['marijuana']
K6,['marijuana']
K6,['not_drugs']
K7,['not_drugs']
K7,['not_drugs']
K7,"['psilocybin', 'marijuana', 'ecstasy']"
K9,['ketamine']
K9,['erectile_dysfunction']
KS,['lsd']
KS,['not_drugs']
Ka,['lsd']
Ke,"['cocaine', 'marijuana', 'not_drugs']"
Ke,['cocaine']
Ke,['not_drugs']
Kg,['']
Kh,['marijuana']
Ki,['psilocybin']
Ki,['not_drugs']
Ki,"['marijuana', 'heroin']"
Kl,['marijuana']
Km,['not_drugs']
Kn,"['cocaine', 'marijuana']"
Ko,['methamphetamine']
Kp,"['', 'ecstasy']"
Kq,['marijuana']
Kr,['psychedelic']
Kr,"['methamphetamine', 'marijuana']"
Ks,"['benzodiazepines', 'marijuana']"
Ks,"['', 'cocaine', 'not_drugs']"
Kt,['marijuana']
Kt,['marijuana']
Ku,"['', 'not_drugs']"
Kx,['marijuana']
Kz,['ecstasy']
L ,['benzodiazepines']
L ,"['methamphetamine', 'cocaine']"
L ,['hashish']
L ,['ecstasy']
L ,"['prescription', 'hashish']"
L ,"['ecstasy', 'ketamine', 'cocaine', 'benzodiazepines', 'heroin']"
L ,['cocaine']
L ,['lsd']
L0,['not_drugs']
L0,['cocaine']
L1,['not_drugs']
L1,"['lsd', 'methamphetamine', 'ecstasy']"
L2,['not_drugs']
L2,"['cocaine', 'marijuana', 'ecstasy']"
L4,['methamphetamine']
L4,"['ecstasy', 'ketamine']"
L6,['not_drugs']
L7,['ketamine']
L7,"['lsd', 'dmt', 'not_drugs']"
L8,['not_drugs']
L8,['psychedelic']
L9,['marijuana']
L9,['not_drugs']
LT,"['cocaine', 'marijuana']"
La,['']
Lb,['marijuana']
Lc,['marijuana']
Ld,"['', 'ecstasy', 'not_drugs']"
Ld,['marijuana']
Le,['']
Le,"['marijuana', 'ecstasy', 'psilocybin', 'cocaine', 'benzodiazepines']"
Lg,['dmt']
Lh,['methamphetamine']
Lh,['cocaine']
Li,['benzodiazepines']
Li,['not_drugs']
Li,['not_drugs']
Lk,['not_drugs']
Ln,"['marijuana', 'opioid', 'not_drugs']"
Ln,['not_drugs']
Lo,"['lsd', 'cocaine']"
Lo,['not_drugs']
Lr,"['opioid', 'marijuana', 'stimulant', 'heroin']"
Lr,['ecstasy']
Lr,['ecstasy']
Ls,['cocaine']
Ls,"['lsd', 'cocaine', 'not_drugs']"
Ls,['cocaine']
Lt,"['', 'ecstasy', 'dmt', 'ketamine', 'dissociative', 'prescription', 'benzodiazepines', 'not_drugs', 'stimulant']"
Lt,['psilocybin']
Lw,['methamphetamine']
Ly,['ecstasy']
Lz,['marijuana']
M ,"['', 'marijuana', 'hashish', 'ketamine', 'cocaine']"
M ,['methamphetamine']
M ,"['', 'cocaine']"
M ,['methamphetamine']
M ,"['methamphetamine', 'ecstasy']"
M ,"['cocaine', 'erectile_dysfunction']"
M ,"['', 'marijuana', 'hashish', 'ecstasy']"
M ,['hashish']
M ,"['', 'ecstasy']"
M ,['cocaine']
M ,['heroin']
M ,"['methamphetamine', 'cocaine']"
M ,['ecstasy']
M0,"['cocaine', 'marijuana']"
M0,"['benzodiazepines', 'ecstasy']"
M0,['methamphetamine']
M0,"['benzodiazepines', 'marijuana', 'not_drugs']"
M1,"['opioid', 'marijuana', 'ecstasy', 'not_drugs', 'erectile_dysfunction']"
M1,['marijuana']
M1,['erectile_dysfunction']
M1,['']
M2,"['', 'not_drugs']"
M2,['marijuana']
M3,"['methamphetamine', 'cocaine', 'ecstasy', 'marijuana']"
M3,"['marijuana', 'not_drugs']"
M4,"['ecstasy', 'not_drugs']"
